agent_id,side,runnable,audit_trail,cost_tracking,config_schema,validation,api_key_auth,phi_redaction,expert_routing,coding_guidelines,trace_events,manual_review_gate,code_search,latency_tracking,evidence_anchoring,multi_language,documentation_completeness,drg_dip_grouping,streaming,tool_calls,output_schema,normalization,risk_scoring,fact_extraction,compliance_rules
icd-10-index-navigator-agent,corti,,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
rule-explainer-agent,corti,,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
compliance-guardrail-agent,corti,,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
code-validation-agent,corti,,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
procedure-entity-extractor-agent,corti,,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
diagnostic-entity-extractor-agent,corti,,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
surgical-registry-intelligence-agent,corti,,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
icu-admission-summary-agent,corti,,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
triage-and-initial-assessment-agent,corti,,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
note-completeness-agent,corti,,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
medication-reconciliation-agent,corti,,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
denial-appeals-agent,corti,,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
patient-discharge-education-agent,corti,,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
nursing-shift-handoff-agent,corti,,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
prior-authorization-agent,corti,,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
referral-generator-agent,corti,,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
clinical-education-agent,corti,,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
medical-coding-icd-10-cpt-agent,corti,,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0
clinical-guidelines-agent,corti,,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
clinical-documentation-improvement-cdi-agent,corti,,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
drg-analyzer,icoder,True,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0
principal-diagnosis-review,icoder,True,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
discharge-summary-structuring,icoder,True,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0
medical-coding-agent,icoder,True,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0
compliance-guardrail-agent,icoder,True,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1
procedure-extractor,icoder,True,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0
note-completeness-agent,icoder,True,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0
code-validation-agent,icoder,True,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1
evidence-extractor,icoder,True,1,1,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0
discharge-edu,icoder,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nursing-handoff,icoder,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
referral-gen,icoder,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
