claim_id,claim_text,source_location,evidence_type_at_r,required_evidence_type_at_rv,status_at_rv0,assigned_sub_gate,notes
R-CLAIM-01,"10/10 HUMAN_WORKFLOW_VERIFIED",reports/phase-a1b-runtime/A1B_AE_R_5_FRONTEND_AND_JOURNEYS.md + journey_manifest.json,mixed (Python module + HTTP + pytest + source inspection),true headed-browser Playwright E2E (10 x 3 runs) with screenshot/trace/video/sanitized-HAR,PENDING_REVALIDATION,RV.5,"Gap 1-3: Journey 4/5/6 = Python module; 7/8/9 = HTTP+pytest; 10 = source inspection"
R-CLAIM-02,"Full backend regression verified",reports/phase-a1b-runtime/A1B_AE_R_6_FINAL_RECONCILIATION.md section 'Full backend suite (broader than baseline)',pytest tests/test_api/ (API_TEST_SUITE mislabelled as BACKEND_ALL_TESTS),both pytest tests/ AND pytest tests/test_api/ labelled accurately,PENDING_REVALIDATION,RV.6,"Gap 4: terminology drift. R.6 'Full backend' was actually API_TEST_SUITE"
R-CLAIM-03,"Public Expert live integration verified",reports/phase-a1b-runtime/A1B_AE_R_3_*.md + evidence/api_captures/,VCR fixture replay,recorded live exchange PubMed + ClinicalTrials with sanitized response + SHA-256 + timestamp + query hash + egress audit,PENDING_REVALIDATION,RV.4,"Gap 6: VCR replay ≠ live connectivity. Need one real live capture per upstream"
R-CLAIM-04,"5 个 Preset 已 materialized",reports/phase-a1b-runtime/A1B_AE_R_2_PRESET_MATERIALIZATION_*.md,delegates_to_pack set on 4/5 stubs,correct labelling of each preset as Pack-backed or Expert-backed; verify Intake/Research not mislabelled,PENDING_REVALIDATION,RV.1 + RV.6,"Gap 7: Intake Preset may be Expert-backed but written as Pack-backed"
R-CLAIM-05,"legacy orphan deletion completed",reports/phase-a1b-runtime/A1B_AE_R_2_PRESET_MATERIALIZATION_*.md section on legacy orphans,3 underscore dirs (code_validation / compliance_guardrail / note_completeness) claimed deleted,true state: deleted vs retained (alias/re-export) verified by git + grep,PENDING_REVALIDATION,RV.1,"Gap 8: retained legacy implementation 不得写成 deleted"
R-CLAIM-06,"Context scrub completed",reports/phase-a1b-runtime/A1B_AE_R_1_B_*.md + A1B-AE-R.5 Journey 8,destroy_now() on direct-child tables only (contexts / context_messages / context_task_refs / context_artifact_refs / original_input_audit),full scrub incl ConversationMemory rows + vector embeddings + MCP temp auth + External Expert cache + Run trace refs + Audit metadata; marker scan with SYNTHETIC_CONTEXT_SCRUB_MARKER_<UUID>,PENDING_REVALIDATION,RV.3,"Gap 9: 删除 Context 直接子表不等于全部 Memory 已清除"
R-CLAIM-07,"4 failed + 27 errors 均为 pre-existing",reports/phase-a1b-runtime/A1B_AE_R_6_FINAL_RECONCILIATION.md,file creation date of test files (file age),same node-ID with same failure signature at baseline 85a5c9a,PENDING_REVALIDATION,RV.1,"Gap 5: 测试文件历史早不代表失败 pre-existing. Correct proof is same node-ID at baseline"
R-CLAIM-08,"Migration 024/025 upgrade path safe",reports/phase-a1b-runtime/A1B_AE_R_6_*.md (incidental dev DB reseed),none — dev DB reseed was post-hoc fix,10 scenarios (A-J) incl partial-schema / interrupted-upgrade / downgrade-upgrade loop / PostgreSQL parity,PENDING_REVALIDATION,RV.2,"Gap 10: CREATE TABLE IF NOT EXISTS style can mask 'table exists but schema incomplete'. Gap 11: dev DB accident not in formal ledger"
R-CLAIM-09,"NEW_FAIL=0 / NEW_ERROR=0",reports/phase-a1b-runtime/A1B_AE_R_6_FINAL_RECONCILIATION.md,baseline subset comparison only,node-ID diff between 8546184 and baseline 85a5c9a; no NEW_FAIL / NEW_ERROR on common-node population,PENDING_REVALIDATION,RV.1 + RV.6,"Gap 5: node-ID attribution not done. Baseline subset comparison hides population drift"
R-CLAIM-10,"Final PASS verdict satisfies original Charter conditions",8546184 commit message,PASS_A1B_AE_R_..._VERIFIED issued without complete evidence,re-evaluation against 33 RV acceptance conditions + original A1B-AE-R charter conditions,PENDING_REVALIDATION,RV.7,"Gap 12: prior verdict is PENDING_REVALIDATION. RV.7 will resolve to RECONFIRMED / SUPERSEDED / NOT_VERIFIED"
R-CLAIM-11,"organization_id fail-closed",implied by R.1.b context scrub tests,4 direct-child table scrub tests,audit Migration 025 server_default + ORM + Pydantic + production write paths; verify NO permanent org_default1 default,PENDING_REVALIDATION,RV.2,"Gap 12: 永久 org_default1 默认不属于 fail-closed"
R-CLAIM-12,"Dev DB isolation for tests",implicit — no test should target backend/data/icoder.db,none,dev-DB guard that fails loudly when test/audit contexts target backend/data/icoder.db,PENDING_REVALIDATION,RV.2,"Gap 11: dev DB migration accident must enter formal evidence ledger"
