id,agent_name,preset_slug,preset_slug_confirmed,use_case_inferred,description
1,ICD-10 Index Navigator Agent,icd-10-index-navigator-agent,no,coding_revenue_cycle,Traverse the ICD-10 Alphabetic Index from clinical terms to candidate codes for coder review
2,Rule Explainer Agent,rule-explainer-agent,no,coding_revenue_cycle,Get explanations of why a specific ICD-10-CM ICD-10-PCS or CPT code was selected
3,Compliance Guardrail Agent,compliance-guardrail-agent,no,coding_revenue_cycle,Evaluate medical code sets against a configured payer or organizational ruleset before claim submission
4,Code Validation Agent,code-validation-agent,no,coding_revenue_cycle,Validate proposed medical code sets against official coding rules to detect errors conflicts and compliance risks before submission
5,Procedure Entity Extractor Agent,procedure-entity-extractor-agent,no,coding_revenue_cycle,Extract and assign procedure codes grounded strictly in documented clinical evidence
6,Diagnostic Entity Extractor Agent,diagnostic-entity-extractor-agent,no,coding_revenue_cycle,Extract and assign diagnosis codes grounded strictly in documented clinical evidence
7,Surgical Registry Intelligence Agent,surgical-registry-intelligence-agent,no,documentation_notes,Automate surgical registry data entry from transcript logs into quality databases
8,ICU Admission Summary Agent,icu-admission-summary-agent,no,documentation_notes,Automate ICU admission documentation by synthesizing EHR data into structured clinical summaries
9,Triage and Initial Assessment Agent,triage-and-initial-assessment-agent,no,documentation_notes,Automate emergency triage with validated risk scores and evidence-based acuity assignment
10,Note Completeness Agent,note-completeness-agent,no,documentation_notes,Ensure high-quality clinical notes with real-time checks for completeness accuracy and compliance
11,Medication Reconciliation Agent,medication-reconciliation-agent,no,documentation_notes,Reduce medication errors with accurate up-to-date reconciliation across admissions transfers and discharges
12,Denial Appeals Agent,denial-appeals-agent,no,patient_communication,Accelerate appeals with evidence-backed responses that align clinical documentation to payer requirements
13,Patient Discharge Education Agent,patient-discharge-education-agent,no,patient_communication,Deliver clear personalized discharge instructions that improve patient understanding adherence and outcomes
14,Nursing Shift Handoff Agent,nursing-shift-handoff-agent,no,patient_communication,Improve continuity of care with clear structured shift handoffs that surface critical patient information and reduce errors
15,Prior Authorization Agent,prior-authorization-agent,no,patient_communication,Streamline prior authorizations with automated guideline-aligned documentation that reduces delays and administrative burden
16,Referral Generator Agent,referral-generator-agent,no,patient_communication,Generate clear structured clinician-to-clinician referral letters
17,Clinical Education Agent,clinical-education-agent,no,clinical_decision_support,Accelerate clinical learning with clear evidence-based explanations grounded in authoritative medical sources
18,Medical Coding Agent,medical-coding-icd-10-cpt-agent,yes,coding_revenue_cycle,Generate accurate medical codes grounded strictly in documented clinical evidence
19,Clinical Guidelines Agent,clinical-guidelines-agent,no,clinical_decision_support,Evaluate patient care against professional clinical guidelines using only explicitly approved domain-locked sources
20,Clinical Documentation Improvement (CDI) Agent,clinical-documentation-improvement-cdi-agent,no,coding_revenue_cycle,Identify documentation gaps in clinical charts and generates compliant provider queries to improve coding accuracy
