scenario_id,scenario_description,target_db,starting_revision,ending_revision,executed_on_host,executed_on_pilot_env,sqlite_parity_verified,outcome_host,outcome_pilot_target,blocker,verdict
S00,YAML syntax validation of docker-compose.a1c-postgres.yml,N/A,N/A,N/A,YES,NOT_REQUIRED,N/A,PASSED,NOT_REQUIRED,,AUTHORED_AND_VALIDATED
S01,Compose pull postgres:16-alpine sanity (image manifests readable),N/A,N/A,N/A,NOT_EXECUTED,PENDING,NOT_REQUIRED,BLOCKED_BY_ENVIRONMENT,PENDING,docker CLI absent on auditor host,BLOCKED_BY_ENVIRONMENT_FOR_REAL_PG_RUN
S02,Empty PostgreSQL DB alembic upgrade head (001..028),PostgreSQL 16,empty,028,NOT_EXECUTED,PENDING,YES_SQLITE_HEAD_028,BLOCKED_BY_ENVIRONMENT,PENDING,docker CLI absent on auditor host,BLOCKED_BY_ENVIRONMENT_FOR_REAL_PG_RUN
S03,SQLite empty DB alembic upgrade head (parity baseline),SQLite,empty,028,YES,NOT_REQUIRED,N/A,PASSED,NOT_REQUIRED,,SQLITE_PARITY_VERIFIED
S04,SQLite downgrade -1 from head (028 -> 027),SQLite,028,027,YES,NOT_REQUIRED,N/A,PASSED,NOT_REQUIRED,,SQLITE_PARITY_VERIFIED
S05,SQLite upgrade head after downgrade -1 (027 -> 028),SQLite,027,028,YES,NOT_REQUIRED,N/A,PASSED,NOT_REQUIRED,,SQLITE_PARITY_VERIFIED
S06,SQLite multi-version upgrade path 020 -> 028,SQLite,020,028,YES,NOT_REQUIRED,N/A,PASSED,NOT_REQUIRED,,SQLITE_PARITY_VERIFIED
S07,SQLite multi-version upgrade path 024 -> 028,SQLite,024,028,YES,NOT_REQUIRED,N/A,PASSED,NOT_REQUIRED,,SQLITE_PARITY_VERIFIED
S08,SQLite multi-version upgrade path 025 -> 028,SQLite,025,028,YES,NOT_REQUIRED,N/A,PASSED,NOT_REQUIRED,,SQLITE_PARITY_VERIFIED
S09,SQLite empty DB upgrade to 026 (subset check),SQLite,empty,026,YES,NOT_REQUIRED,N/A,PASSED,NOT_REQUIRED,,SQLITE_PARITY_VERIFIED
S10,PostgreSQL empty DB alembic upgrade head (target scenario),PostgreSQL 16,empty,028,NOT_EXECUTED,PENDING,YES_SQLITE_HEAD_028,BLOCKED_BY_ENVIRONMENT,PENDING,docker CLI absent on auditor host,BLOCKED_BY_ENVIRONMENT_FOR_REAL_PG_RUN
S11,PostgreSQL downgrade -1 from head (028 -> 027),PostgreSQL 16,028,027,NOT_EXECUTED,PENDING,YES_SQLITE_DOWNGRADE_1,BLOCKED_BY_ENVIRONMENT,PENDING,docker CLI absent on auditor host,BLOCKED_BY_ENVIRONMENT_FOR_REAL_PG_RUN
S12,PostgreSQL upgrade head after downgrade -1 (027 -> 028),PostgreSQL 16,027,028,NOT_EXECUTED,PENDING,YES_SQLITE_UPGRADE_AFTER_DOWNGRADE,BLOCKED_BY_ENVIRONMENT,PENDING,docker CLI absent on auditor host,BLOCKED_BY_ENVIRONMENT_FOR_REAL_PG_RUN
S13,PostgreSQL multi-version upgrade 020 -> 028,PostgreSQL 16,020,028,NOT_EXECUTED,PENDING,YES_SQLITE_MULTI_VERSION,BLOCKED_BY_ENVIRONMENT,PENDING,docker CLI absent on auditor host,BLOCKED_BY_ENVIRONMENT_FOR_REAL_PG_RUN
S14,PostgreSQL multi-version upgrade 024 -> 028,PostgreSQL 16,024,028,NOT_EXECUTED,PENDING,YES_SQLITE_MULTI_VERSION,BLOCKED_BY_ENVIRONMENT,PENDING,docker CLI absent on auditor host,BLOCKED_BY_ENVIRONMENT_FOR_REAL_PG_RUN
S15,PostgreSQL multi-version upgrade 025 -> 028,PostgreSQL 16,025,028,NOT_EXECUTED,PENDING,YES_SQLITE_MULTI_VERSION,BLOCKED_BY_ENVIRONMENT,PENDING,docker CLI absent on auditor host,BLOCKED_BY_ENVIRONMENT_FOR_REAL_PG_RUN
S16,PostgreSQL interrupted recovery (DROP IF EXISTS _alembic_tmp_* pattern),PostgreSQL 16,027,028,NOT_EXECUTED,PENDING,YES_SQLITE_INTERRUPTED_RECOVERY,BLOCKED_BY_ENVIRONMENT,PENDING,docker CLI absent on auditor host,BLOCKED_BY_ENVIRONMENT_FOR_REAL_PG_RUN
S17,PostgreSQL Migration 027 batch_alter_table String(12) on 40 columns,PostgreSQL 16,026,027,NOT_EXECUTED,PENDING,YES_SQLITE_PARITY_VERIFIED,BLOCKED_BY_ENVIRONMENT,PENDING,docker CLI absent on auditor host,BLOCKED_BY_ENVIRONMENT_FOR_REAL_PG_RUN
S18,PostgreSQL Migration 028 agents.aliases SET NOT NULL with backfill,PostgreSQL 16,027,028,NOT_EXECUTED,PENDING,YES_SQLITE_PARITY_VERIFIED,BLOCKED_BY_ENVIRONMENT,PENDING,docker CLI absent on auditor host,BLOCKED_BY_ENVIRONMENT_FOR_REAL_PG_RUN
S19,PostgreSQL constraint verification (PK / FK / UNIQUE / CHECK / NOT NULL),PostgreSQL 16,empty,028,NOT_EXECUTED,PENDING,YES_SQLITE_INTROSPECTION_PROXY,BLOCKED_BY_ENVIRONMENT,PENDING,docker CLI absent on auditor host,BLOCKED_BY_ENVIRONMENT_FOR_REAL_PG_RUN
S20,Schema drift test (ORM vs DB) on PostgreSQL head,PostgreSQL 16,empty,028,NOT_EXECUTED,PENDING,YES_SQLITE_DRIFT_ZERO,BLOCKED_BY_ENVIRONMENT,PENDING,docker CLI absent on auditor host,BLOCKED_BY_ENVIRONMENT_FOR_REAL_PG_RUN
