id,dimension,verdict,priority,decision,evidence,impact,root_cause,recommendation
1,Product Strategy,PARITY,,MUST_MATCH,"Both cloud-hosted SaaS for healthcare AI agents; Corti EU/US regions, iCoDer EU/US/CN per CLAUDE.md; both have AI Studio + Manage sections with 1:1 mapping",Strategic alignment - no gap,iCoDer pivoted to Corti-style SaaS on 2026-06-17,No action needed
2,Information Architecture,PARITY,,MUST_MATCH,"Corti left nav = Home + Developer + AI Studio + Manage + Support; iCoDer matches 1:1 with Chinese i18n",Users navigate identically,Phase 3-B2 / 4-D deliberate Corti replication,No action
3,Agent Discovery,CLOSE,P2,MUST_MATCH,"Both have My agents + Pre-built tabs; Corti 20 pre-built agents across 4 use cases; iCoDer 8 iCoDer built agents (medical coding + 4 P0 + 3 P1)",iCoDer exposes 12 fewer out-of-box agents,iCoDer focused on coding/compliance vertical,Add 4-6 more pre-built agents (Denial Appeals + Patient Discharge Education + Referral Generator + Clinical Education)
4,Agent Detail,PARITY,,MUST_MATCH,"Both have left chat panel + right Settings/Code tabs; iCoDer matches Corti 1:1",Identical detail page layout,Phase 4-D/E deliberate Corti replication,No action
5,Agent Configuration,PARITY,,MUST_MATCH,"Both: Name (50-char) + System prompt + Experts (browse + custom + add); Tools bound via Expert mcpServers; iCoDer matches Corti per §7+§8 audits",Identical configuration UX,Phase 4-A backend provider arch + Phase 4-B/C migrations,No action
6,Agent Runtime,ICODER_ADVANTAGE,,ICODER_ADVANTAGE,"iCoDer has unified Agent Run API POST /api/v1/agents/{id}/run with 13-field envelope + corti_like_fast mode (~9s T12) + A2A orchestrator + PureLLMProvider + RuleEngine + LLMWithToolsProvider; Corti runtime API opaque",iCoDer exposes more runtime knobs,Phase 4-A backend provider arch + Phase 4-F2 unified run API,Keep as iCoDer ADVANTAGE; document runtime_mode publicly
7,Agent Output,PARITY,,MUST_MATCH,"Both: streamed chat + structured result envelope (summary + evidence + manual_review_required + warnings); iCoDer 13-field envelope matches Corti; Copy JSON/MD buttons (iCoDer ADVANTAGE)",Users extract structured output identically,Phase 4-F2 A2A-compatible envelope,No action
8,Expert Model,PARITY,,MUST_MATCH,"Both: Expert = system-prompt-fragment + optional mcpServers + optional configSchema; Corti 13 Experts; iCoDer 8 iCoDer built Experts; both support expert rebinding",Identical Expert model,Phase 3-B1.5 Corti reverse engineering + Phase 4-A,No action
9,Tool Model,PARITY,,MUST_MATCH,"Corti: Tools NOT first-class - bound inside Expert mcpServers (2 of 13 Experts have MCP); iCoDer FULL PARITY via Phase 3-C1 (4 auth types + 7 error codes) + Phase 4-A ToolMCPCompatLayer + Phase 4-C 4 MCP tools",iCoDer can mount any Corti-style MCP server,Phase 3-C1 MCP auth + Phase 4-A ToolMCPCompatLayer,No action
10,Context Model,ICODER_ADVANTAGE,P2,ICODER_ADVANTAGE,"Corti 9 dims (JSON attachments + session SHARED + patient IMPLIED via template + encounter NOT OBSERVED + Agent-fixed + Pinned OBSERVED + EHR NOT OBSERVED + API Client combobox + Expert shared); iCoDer matches 5/9 + exceeds 4 (broader file support + RunHistory + explicit patient/encounter IDs via setPatientContext + GC policy)",iCoDer has more explicit context model + GC policy,Phase 1 A2A spec design (docs/ICODER_V1_CONTEXT_SPEC.md),Add pinned_parts[] to pack v1.4 to close only Corti ADVANTAGE
11,Knowledge Model,PARTIAL,P2,LOCALIZE_FOR_CHINA,"Corti: no explicit KB page (implicit in Experts + Tools); iCoDer: iCoDerA data assets (icd10cn_code_catalog 37,897 codes + evidence_anchoring_kb 972 codes x 6,490 patterns + coding_differentiation_kb 2,090 code-pair decisions + cot_generation_progress_v2 175/500 few-shot) used by MedCodER",iCoDer has stronger CN-specific medical coding KB; Corti has broader KB via third-party (PubMed/DrugBank),iCoDer CN market focus demands ICD-10-CN coverage,Localize for China - keep iCoDerA assets; add Chinese medical KBs (CNKI/万方) as Expert-bound KBs
12,RunHistory,ICODER_ADVANTAGE,P1,ICODER_ADVANTAGE,"Corti: NO dedicated RunHistory page (only aggregate /usage chart with date + API Client filters); iCoDer: run_history table (alembic 010) + GET /api/runtime/runs/history with agent_id+user_id+org_id filters + per-agent Recent runs dropdown; Cost/Latency/Error/Input/Output fields per run",iCoDer users can audit per-run history; Corti users only see aggregate,Phase 4-G #3 RunHistory table + Phase 4-F2 trace_events,Add Date filter (Corti has 30d preset; iCoDer only has limit); Add daily credits consumed chart (Corti has chart; iCoDer only metric cards)
13,Trace,PARTIAL,P0,MUST_MATCH,"Corti: NO trace page; only streaming chat + per-run Credits consumed footer; iCoDer: 9-step Corti-parity timeline on RunTrace page + 15 trace fields; BUT 2 bugs: (a) step duration double-counted (7 steps for 3-step run; 3020ms x 3 = 9060ms phantom total); (b) inline trace vs persisted trace metadata mismatch",Trace UI misleading due to phantom duration; PDF §12.2 explicitly calls out,Inline emitter (real-time SSE) + persisted emitter (DB write) both writing to same trace_events[] array,P0 fix: consolidate inline + persisted emitters into single emitter with deferred duration computation; verify RunTrace shows 3 steps (not 7) with 3020ms total (not 9060ms)
14,Cost,PARTIAL,P0,MUST_MATCH,"Corti: $0.034596 topbar + $48.69 billing + $0.83 /usage 30d + Reset live cost button + low balance alert + auto top-up + Plan/Billing History/Business info tabs; iCoDer: $50.00 topbar + ¥50.00 billing + ¥0.00 /usage 30d + low balance + auto top-up + tabs (matches); BUT 2 bugs: (a) currency mismatch ($ vs ¥); (b) /usage shows ¥0.00 consumed but real runs consumed credits",iCoDer /usage page broken - shows ¥0.00 after paid runs; TopBar currency inconsistent with /billing,(a) TopBar USD hardcoded; /billing yuan hardcoded; (b) /usage reads from different source than TopBar live cost counter,P0 fix: (a) Unify currency via ICODER_CURRENCY env var (default CNY); (b) Wire /usage to SELECT SUM(cost) FROM run_history WHERE created_at BETWEEN start AND end
15,API Client,CLOSE,P2,MUST_MATCH,"Both: API Client page with OAuth2; Corti: 4+ action buttons per client (Copy ID / Regenerate / Show on-demand / Copy secret / Copy env ID / Copy tenant / Copy all as .env); iCoDer: Copy + Delete only (lacks Regenerate + Show-on-demand + Copy-all-as-.env on API Client page; has it only in Quickstart)",iCoDer users can't rotate secrets without deleting + recreating client,iCoDer APIClientsPage (Phase 4-G) shipped before all Corti action buttons replicated,Add 3 buttons: Regenerate secret + Show on-demand + Copy all as .env on API Client page
16,API / SDK,PARITY,,MUST_MATCH,"Corti: JS SDK (@corti/sdk npm) + .NET SDK (Corti.Sdk NuGet) + Developer Quickstart 3-step + deep links (Claude/Cursor/Codex/Lovable) + Agent Skills at docs.corti.ai/.well-known/agent-skills/{slug}/SKILL.md; iCoDer: Quickstart 4 tabs + 4 use cases + 4 AI tool deep links + 4 SKILL.md files at public/.well-known/agent-skills/ + API Playground tab (iCoDer ADVANTAGE - Corti lacks)",Developer onboarding identical,Phase 4-D Developer Quickstart replication + Agent Skills program init,No action; iCoDer matches + exceeds (API Playground)
