agent_id,side,category,runnable,total,auditability,trust_signals,comprehensibility,sdk_support,error_handling,latency_transparency,discoverability,customization,output_transparency,input_clarity,cost_transparency,consistency
icd-10-index-navigator-agent,corti,Coding and Revenue Cycle,,47,2,3,5,5,4,2,5,5,5,4,3,4
rule-explainer-agent,corti,Coding and Revenue Cycle,,47,2,3,5,5,4,2,5,5,5,4,3,4
compliance-guardrail-agent,corti,Coding and Revenue Cycle,,47,2,3,5,5,4,2,5,5,5,4,3,4
code-validation-agent,corti,Coding and Revenue Cycle,,47,2,3,5,5,4,2,5,5,5,4,3,4
procedure-entity-extractor-agent,corti,Coding and Revenue Cycle,,47,2,3,5,5,4,2,5,5,5,4,3,4
diagnostic-entity-extractor-agent,corti,Coding and Revenue Cycle,,47,2,3,5,5,4,2,5,5,5,4,3,4
surgical-registry-intelligence-agent,corti,Clinical Evidence and Research,,47,2,3,5,5,4,2,5,5,5,4,3,4
icu-admission-summary-agent,corti,Point of Care Tools,,47,2,3,5,5,4,2,5,5,5,4,3,4
triage-and-initial-assessment-agent,corti,Point of Care Tools,,47,2,3,5,5,4,2,5,5,5,4,3,4
note-completeness-agent,corti,Point of Care Tools,,47,2,3,5,5,4,2,5,5,5,4,3,4
medication-reconciliation-agent,corti,Point of Care Tools,,47,2,3,5,5,4,2,5,5,5,4,3,4
denial-appeals-agent,corti,Coding and Revenue Cycle,,47,2,3,5,5,4,2,5,5,5,4,3,4
patient-discharge-education-agent,corti,Care Coordination,,47,2,3,5,5,4,2,5,5,5,4,3,4
nursing-shift-handoff-agent,corti,Care Coordination,,47,2,3,5,5,4,2,5,5,5,4,3,4
prior-authorization-agent,corti,Coding and Revenue Cycle,,47,2,3,5,5,4,2,5,5,5,4,3,4
referral-generator-agent,corti,Care Coordination,,47,2,3,5,5,4,2,5,5,5,4,3,4
clinical-education-agent,corti,Clinical Evidence and Research,,47,2,3,5,5,4,2,5,5,5,4,3,4
medical-coding-icd-10-cpt-agent,corti,Coding and Revenue Cycle,,47,2,3,5,5,4,2,5,5,5,4,3,4
clinical-guidelines-agent,corti,Clinical Evidence and Research,,47,2,3,5,5,4,2,5,5,5,4,3,4
clinical-documentation-improvement-cdi-agent,corti,Coding and Revenue Cycle,,47,2,3,5,5,4,2,5,5,5,4,3,4
drg-analyzer,icoder,Coding and Revenue Cycle / 编码与收入周期,True,57,5,5,5,4,4,5,5,5,5,4,5,5
principal-diagnosis-review,icoder,Coding and Revenue Cycle / 编码与收入周期,True,57,5,5,5,4,4,5,5,5,5,4,5,5
discharge-summary-structuring,icoder,Coding and Revenue Cycle / 编码与收入周期,True,57,5,5,5,4,4,5,5,5,5,4,5,5
medical-coding-agent,icoder,Coding and Revenue Cycle / 编码与收入周期,True,57,5,5,5,4,4,5,5,5,5,4,5,5
compliance-guardrail-agent,icoder,Coding and Revenue Cycle / 编码与收入周期,True,57,5,5,5,4,4,5,5,5,5,4,5,5
procedure-extractor,icoder,Coding and Revenue Cycle / 编码与收入周期,True,57,5,5,5,4,4,5,5,5,5,4,5,5
note-completeness-agent,icoder,Documentation / 病历完整性,True,57,5,5,5,4,4,5,5,5,5,4,5,5
code-validation-agent,icoder,Coding and Revenue Cycle / 编码与收入周期,True,55,5,5,5,4,4,5,5,5,5,2,5,5
evidence-extractor,icoder,Coding and Revenue Cycle / 编码与收入周期,True,57,5,5,5,4,4,5,5,5,5,4,5,5
discharge-edu,icoder,Care Coordination / 护理协同,False,21,0,5,5,4,0,0,5,2,0,0,0,0
nursing-handoff,icoder,Care Coordination / 护理协同,False,21,0,5,5,4,0,0,5,2,0,0,0,0
referral-gen,icoder,Care Coordination / 护理协同,False,21,0,5,5,4,0,0,5,2,0,0,0,0
icd10-navigator,icoder,Coding and Revenue Cycle / 编码与收入周期,False,21,0,5,5,4,0,0,5,2,0,0,0,0
rule-explainer,icoder,Coding and Revenue Cycle / 编码与收入周期,False,21,0,5,5,4,0,0,5,2,0,0,0,0
prior-auth,icoder,Coding and Revenue Cycle / 编码与收入周期,False,21,0,5,5,4,0,0,5,2,0,0,0,0
icu-summary,icoder,Point of Care Tools / 床旁工具,False,21,0,5,5,4,0,0,5,2,0,0,0,0
triage,icoder,Point of Care Tools / 床旁工具,False,21,0,5,5,4,0,0,5,2,0,0,0,0
med-reconciliation,icoder,Point of Care Tools / 床旁工具,False,21,0,5,5,4,0,0,5,2,0,0,0,0
surgical-registry,icoder,Clinical Evidence and Research / 临床循证,False,21,0,5,5,4,0,0,5,2,0,0,0,0
denial-appeals,icoder,医保,False,19,0,5,5,4,0,0,3,2,0,0,0,0
evidence-ranker,icoder,编码,False,19,0,5,5,4,0,0,3,2,0,0,0,0
diagnosis-extractor,icoder,编码,False,19,0,5,5,4,0,0,3,2,0,0,0,0
cdi-review,icoder,质控,False,19,0,5,5,4,0,0,3,2,0,0,0,0
documentation-gap,icoder,质控,False,19,0,5,5,4,0,0,3,2,0,0,0,0
