blocker_id,source,title,severity,subgate_assigned,status,target_phase,a1d_resolution_note
A1C-B-002,A1C.9,88 historical baseline failures (spec/STT/oauth/health_check debt),P2,A1D.5,CLOSED_PARTIAL,A1D,CLOSED_PARTIAL in A1D.5 — 38/58 baseline failures remediated via principled root-cause fixes across 8 batches (30-pack validator, migration-head self-healing, seed origin, run_trace profile+state-literal, LLM provider backwards-compat, OAuth audit allowlist, agent_pack_backend_schema assertions, cloud-mode env vars). 20 remaining failures deferred: 14 Phase 3B*/A2A integration tests (need cross-ref with commit history), 4 trace API orphan-run seed pattern, 1 compliance_guardrail behavioral, 1 Windows-only MCP unicode. Charter §A1D.5 partial-close threshold (>50% reduction) met at 65.5%.
A1C-B-003,A1C.9,ESLint binary missing in audit env (frontend dev deps not installed),P2,A1D.1,CLOSED,A1D,CLOSED in A1D.1 — ESLint 9.39.5 + 7 plugins installed; flat config eslint.config.js; 21 errors resolved (16 allowEmptyCatch + 5 manual); exit 0 with 380 warnings permitted. Closure commit: see A1D.1 FRONTEND_LINT_INTRODUCTION_REPORT.md
A1C-B-007,A1C.9,Fallback LLM provider not implemented (DeepSeek sole provider; Azure-OpenAI / Qwen / Moonshot fallback DESIGN only),P2,A1D.4,CLOSED,A1D,CLOSED in A1D.4 — icoder_runtime/core/fallback_provider.py ships 4 factories (make_openai_compatible_fallback / make_azure_openai_fallback / make_qwen_fallback / make_moonshot_fallback); LLMGateway.register_fallback() + auto-failover in generate() walks the chain when primary returns degraded=True; OpenAICompatibleProvider upgraded with _name_override + auth_header + graceful degradation matching DeepSeekProvider; 10/10 new tests PASS. Real API keys deferred to Pilot env.
A1C-B-008,A1C.9,KMS key rotation + cache invalidation not implemented (CredentialVault cache holds decrypted secrets),P2,A1D.4,CLOSED,A1D,CLOSED in A1D.4 — KMSVersionToken monotonic counter (thread-safe); CredentialVault.__init__ accepts optional kms_version_token; cache entries stamped with token.current on resolve(); stale-stamp detected on next resolve() → cache re-reads from env/secrets manager; invalidate(service=None) + invalidate_all() for operator-initiated flush; 10/10 new tests PASS. Real KMS rotation hook deferred to Pilot env.
A1C-B-010,A1C.9,Allow-side policy_decision audit emission not wired (only deny-side emitted currently),P2,A1D.3,CLOSED,A1D,CLOSED in A1D.3 — log_action accepts keyword-only policy_decision dict {decision/decision_reason/rbac_role/abac_purpose_match/tenant_match}; merged into details JSON post-redaction; 4 new unit tests PASS. Pilot env wiring (per-route opt-in) is the consumer's job.
A1C-B-011,A1C.9,ABAC purpose_of_use emission not in every audit row (request.state.purpose_of_use not propagated to audit_log.details),P2,A1D.3,CLOSED,A1D,CLOSED in A1D.3 — log_action accepts keyword-only purpose_of_use parameter; merged into details.purpose_of_use; allowlist widened in audit_detail_redactor. Pilot env wiring (per-route request.state propagation) is the consumer's job.
A1C-B-020,A1C.9,CDI specialist + medical records admin UserRole not extended (5/7 principals closed in A1C.4; 2 deferred),P1,A1D.3,CLOSED,A1D,CLOSED in A1D.3 — UserRole enum extended with CDI_SPECIALIST + MEDICAL_RECORDS_ADMIN; Migration 030 widens column type from 7 to 9 literals (SQLite batch_alter / PG ALTER TYPE ADD VALUE); 9 new unit tests PASS; round-trip upgrade/downgrade verified.
A1C-B-012,A1C.9,DeepSeek region routing EXPLICIT decision log (egress decision IMPLICIT via region default; Charter §4 PDF asks EXPLICIT),P2,A1D.2,CLOSED,A1D,CLOSED in A1D.2 — RuntimeDataPolicy.egress_decision() + module-level egress_decision_log() added; structured record (tenant_region/provider_name/provider_region/egress_policy/decision/reason/timestamp) emitted at INFO (allow) / WARNING (deny). 8 new unit tests PASS.
A1C-B-018,A1C.9,ICODER_AUDIT_WRITE_PAUSED flag not implemented (RB-3 PITR rollback needs pause-audit capability),P2,A1D.2,CLOSED,A1D,CLOSED in A1D.2 — ICODER_AUDIT_WRITE_PAUSED env flag respected by app/middleware/audit.py::log_action; pause short-circuits AFTER tenancy guard (fail-closed survives pause). 4 new unit tests PASS.
A1C-B-020,A1C.9,CDI specialist + medical records admin UserRole not extended (5/7 principals closed in A1C.4; 2 deferred),P1,A1D.3,OPEN,A1D,Extend UserRole enum + migration + role-permission wiring
