id,dimension,module,scenario,corti_observation,icoder_observation,gap_type,severity,impact,root_cause,evidence,screenshot,priority,recommendation,estimated_effort,owner_suggestion
G001,Performance,Medical Coding,Run T12 vertebral fracture case end-to-end,"Corti returns 7 ICD codes in ~8s (M54.9/M54.89/W19.XXXA/S22.089A/M81.0/I10/E11.9/Z47.89), $0.06 consumed","iCoDer MedCodER 5-stage pipeline (extract/retrieve/merge/rerank/compliance) exceeds 60s frontend timeout, no codes returned",RUNTIME_GAP,S1,Blocks core medical coding use case; users cannot get predictions; product unfit for clinical workflow,MedCodER 5-stage pipeline runs 2 DeepSeek calls + BGE-M3 retrieval + FAISS + re-rank DeepSeek call + compliance rule engine sequentially; Corti uses single-stage LLM call with simpler prompt,scenario_02_corti_result.png + scenario_05_icoder_timeout.png + backend log 16:12:10/16:12:15 2x200 OK DeepSeek,P0,"Add streaming SSE for partial results; cache retrieval index in memory; parallelize stage 1+2; consider prompt-only fast path for simple cases (like Corti)",3-5 days,Backend Runtime
G002,Navigation,Speech to Text,Click 语音转录 in sidebar,"Corti routes to /ai-studio/speech-to-text umbrella with 3 sub-modes (Dictation/Ambient/Pre-recorded)","iCoDer sidebar has 语音转录 link but route was removed in Phase 3-B2; clicking redirects to / (HomePage)",IA_GAP,S2,Sidebar link is broken; users see silent redirect; trust erosion,Route deletion in Phase 3-B2 (commit 5c4e0e3) removed /ai-studio/speech-to-text but sidebar IA not synced,App.tsx lines 68-84 + icoder_03_ai_studio_overview.png,P1,"Either remove 语音转录 from sidebar OR re-add route stub with 'coming soon' page; align sidebar IA with router config",0.5 day,Frontend IA
G003,Capability,Corti Models,Visit Corti Models page,"Corti has dedicated Corti Models page (/project/{id}/corti-models) showcasing frontier LLMs hosted on EU infrastructure","iCoDer has no equivalent; LLM is implicit DeepSeek config in backend",CAPABILITY_GAP,S3,China market may not need EU-hosted frontier models;DeepSeek already serves China-specific needs,Product positioning difference: iCoDer = China-focused with DeepSeek; Corti = EU-focused with multi-model,corti_23_corti_models.png,P3,"Optional: add /ai-studio/models page showing available LLM providers (DeepSeek/Qwen/GLM) with capability matrix",2 days,Product + Backend
G004,Capability,Speech to Text,Use STT for medical dictation,"Corti has 3 STT modes: Dictation (real-time) / Ambient (background) / Pre-recorded (audio file upload)","iCoDer has no STT capability at all",CAPABILITY_GAP,S3,Medical dictation is Corti core feature; iCoDer deferring STT leaves gap for clinical workflow,STT was never built in iCoDer; Phase 3-B2 removed route stub,cortic_08_stt_dictation.png + corti_09_stt_ambient.png + corti_10_stt_prerecorded.png,P3,"Plan Phase 5+: integrate Whisper-large or industry China-specific STT (e.g. 阿里云 ASR) for medical domain",10-15 days,Backend + ML
G005,Capability,Text Generation,Use guided document generation,"Corti has Text Generation page (/project/{id}/ai-studio/text-generation) for clinical document generation","iCoDer removed TextGenerationPage in Phase 3-B2 (collapses into Agent Hub); old /ai-studio/text-generation redirects to /ai-studio/agents",CAPABILITY_GAP,S3,Intentional: iCoDer treats text generation as agent capability not standalone page; Corti paradigm differs,Architectural decision: Agent Hub subsumes text generation as agent task,cortic_11_text_generation.png + App.tsx line 81 redirect,P3,"Keep Agent Hub as umbrella; if users need dedicated page later add /ai-studio/text-generation with agent picker",1 day if needed,Frontend
G006,Capability,Embedded Assistant,Embed assistant in HIS/EMR,"Corti has Embedded Assistant page (/project/{id}/ai-studio/embedded-assistant) with Web Component SDK","iCoDer removed EmbeddedAssistantPage in Phase 3-B2 (collapses into Agent Hub); old /ai-studio/embedded-assistant redirects to /ai-studio/agents",CAPABILITY_GAP,S3,Intentional: iCoDer treats embedded as integration pattern not standalone page; backend-service vs ROPC-embedded handled in API Clients,Architectural decision: embedded integration lives in /api-clients + /developer-quickstart,cortic_12_embedded_assistant.png + App.tsx line 82 redirect,P3,"Add embedded assistant wizard under /developer-quickstart or /api-clients showing Web Component snippet",2 days,DevRel
G007,UX,Agent Detail Top Bar,View live cost during agent run,"Corti agent detail page top bar shows live cost counter ($0.000000) + Reset live cost button + API Client dropdown","iCoDer agent chat page top bar has no live cost counter; only breadcrumb + tabs",UX_GAP,S2,Users cannot see real-time credit consumption; no transparency on spend; trust gap for billing-conscious hospitals,Phase 4-D added breadcrumb + tabs but skipped live cost counter (Phase 4-C gap #1 not fully closed),cortic_06_agent_detail_medical_coding.png vs icoder_06_agent_chat_medical_coding.png,P2,"Add live cost counter in AgentChatPage top bar; subscribe to /api/v1/usage/live-cost SSE; show $X.XXXXXX with reset button",1-2 days,Frontend + Backend
G008,UX,Agent Detail Layout,Right-side dual pane Settings/Code,"Corti agent detail has left chat pane + right dual-pane Settings (System prompt/Model/Experts/Context) + Code (SDK tabs)","iCoDer agent chat matches: left chat + right Settings/Code dual pane with SDK tabs",UX_DIFF,S0,Parity achieved in Phase 4-D,cortic_06 + corti_07 vs icoder_06,P0,Maintain parity,0,Frontend
G009,UX,Agent Detail Add Context,Click Add context in chat input,"Corti has Add context button + Ctrl+Enter submit + message history scroller","iCoDer has Add context button + Ctrl+Enter submit + message history (Phase 4-D verified)",UX_DIFF,S0,Parity achieved,cortic_06 vs icoder_06,P0,Maintain parity,0,Frontend
G010,UX,Agent Detail Experts,View experts in right pane,"Corti shows 4 experts (coding-expert/pubmed-expert/web-search-expert/medical-calculator-expert) with expandable cards","iCoDer shows experts list with version + capability chips (Phase 4-D verified)",UX_DIFF,S0,Parity achieved with slightly different visual treatment,cortic_06 vs icoder_06,P0,Maintain parity,0,Frontend
G011,IA,Hero Section Tabs,Click 4 hero tabs on home,"Corti has 4 hero tabs: Transcribe/Document/Chat/Code NEW with 2 CTA cards each","iCoDer has 4 hero tabs: 转写/文书/对话/编码 NEW with CTA cards",UX_DIFF,S0,Parity achieved,cortic_02_console_home vs icoder_02_home,P0,Maintain parity,0,Frontend
