node_id,classification,root_cause,first_apperance_commit,module,fix_strategy,affects_pilot,priority,target_gate,owner,message_excerpt
tests.integration.icoder.a2a.test_endpoints::test_well_known_agent_json_lists_cards,SPEC_DRIFT,Agent name localized to Chinese (MedCodER 编码审核智能体) but test expects English (MedCodER Coding Review Agent),(pre-A1C carryover from 8546184),integration/icoder/a2a,Update test expectations to match evolved contract (localization / pack count / rule scope),YES,P2,A1C.1,A1C team,AssertionError: assert 'MedCodER 编码审核智能体' == 'MedCodER Coding Review Agent'      - MedCodER Coding Review Agent   + MedC
tests.integration.icoder.a2a.test_endpoints::test_llms_txt_renders_markdown,SPEC_DRIFT,Agent name localized to Chinese (MedCodER 编码审核智能体) but test expects English (MedCodER Coding Review Agent),(pre-A1C carryover from 8546184),integration/icoder/a2a,Update test expectations to match evolved contract (localization / pack count / rule scope),YES,P2,A1C.1,A1C team,AssertionError: assert 'MedCodER Coding Review Agent' in '# iCoDer v1 Agent Runtime\n\niCoDer is an AI platform for hosp
tests.integration.icoder.a2a.test_endpoints::test_agents_list_returns_simplified_cards,SPEC_DRIFT,Agent name localized to Chinese (MedCodER 编码审核智能体) but test expects English (MedCodER Coding Review Agent),(pre-A1C carryover from 8546184),integration/icoder/a2a,Update test expectations to match evolved contract (localization / pack count / rule scope),YES,P2,A1C.1,A1C team,AssertionError: assert 'MedCodER 编码审核智能体' == 'MedCodER Coding Review Agent'      - MedCodER Coding Review Agent   + MedC
tests.integration.icoder.a2a.test_endpoints::test_agent_card_returns_full_card,SPEC_DRIFT,Agent name localized to Chinese (MedCodER 编码审核智能体) but test expects English (MedCodER Coding Review Agent),(pre-A1C carryover from 8546184),integration/icoder/a2a,Update test expectations to match evolved contract (localization / pack count / rule scope),YES,P2,A1C.1,A1C team,AssertionError: assert 'MedCodER 编码审核智能体' == 'MedCodER Coding Review Agent'      - MedCodER Coding Review Agent   + MedC
tests.integration.icoder.test_mcp_agent_tools_lifecycle::test_dispatch_tool_validate_codes_with_scopes_succeeds,SPEC_DRIFT,MedicalCodingRuleSet expanded from R001-only to R001-R010 (+MC-R-M80-001); test expects single-rule scope,(pre-A1C carryover from 8546184),integration/icoder/test_mcp_agent_tools_lifecycle::test_dispatch_tool_validate_codes_with_scopes_succeeds,Update test expectations to match evolved contract (localization / pack count / rule scope),YES,P2,A1C.1,A1C team,"AssertionError: assert ['R001', 'R00..., 'R006', ...] == ['R001']      Left contains 10 more items, first extra item: 'R"
tests.integration.icoder.test_phase3b1_agent_hub::test_metadata_only_packs_visible_but_not_runnable,SPEC_DRIFT,Hub metadata-only pack list evolved (cdi-review removed/renamed); test fixture stale,(pre-A1C carryover from 8546184),integration/icoder/test_phase3b1_agent_hub::test_metadata_only_packs_visible_but_not_runnable,Update test expectations to match evolved contract (localization / pack count / rule scope),YES,P2,A1C.1,A1C team,AssertionError: metadata-only pack icoder/cdi-review@1.0.0 must appear in Hub (visible with Coming Soon badge) assert 'i
tests.integration.icoder.test_phase3b1_agent_hub::test_phase3d1_three_simple_agents_visible_and_runnable,SPEC_DRIFT,Phase 3B1 hub/discovery contract evolved; tests are integration-coupled to old shape,(pre-A1C carryover from 8546184),integration/icoder/test_phase3b1_agent_hub::test_phase3d1_three_simple_agents_visible_and_runnable,Update test expectations to match evolved contract (localization / pack count / rule scope),YES,P2,A1C.1,A1C team,AssertionError: runnable agent icoder/code-validation-agent@1.0.0 must appear in Hub assert 'icoder/code-validation-agen
tests.integration.icoder.test_phase3b1_agent_hub::test_hub_total_count_matches_visibility_filter,SPEC_DRIFT,Phase 3B1 hub/discovery contract evolved; tests are integration-coupled to old shape,(pre-A1C carryover from 8546184),integration/icoder/test_phase3b1_agent_hub::test_hub_total_count_matches_visibility_filter,Update test expectations to match evolved contract (localization / pack count / rule scope),YES,P2,A1C.1,A1C team,AssertionError: Hub must list 14 visible packs (9 runnable + 5 metadata-only) after Phase 4-F; got 24. Cards: ['icoder/c
tests.integration.icoder.test_phase3b1_discovery_unification_contract::test_hub_is_pack_mastered_and_no_auth,SPEC_DRIFT,Phase 3B1 hub/discovery contract evolved; tests are integration-coupled to old shape,(pre-A1C carryover from 8546184),integration/icoder/test_phase3b1_discovery_unification_contract::test_hub_is_pack_mastered_and_no_auth,Update test expectations to match evolved contract (localization / pack count / rule scope),YES,P2,A1C.1,A1C team,assert 24 == 11
tests.integration.icoder.test_phase3b1_discovery_unification_contract::test_hub_and_a2a_discovery_are_both_pack_mastered,SPEC_DRIFT,Phase 3B1 hub/discovery contract evolved; tests are integration-coupled to old shape,(pre-A1C carryover from 8546184),integration/icoder/test_phase3b1_discovery_unification_contract::test_hub_and_a2a_discovery_are_both_pack_mastered,Update test expectations to match evolved contract (localization / pack count / rule scope),YES,P2,A1C.1,A1C team,assert 24 == 11
