Integration dimension,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8,CP9
Hub discoverable,Y,Y,Y,Y,Y,Y,Y,Y,Y
Detail page 5 tabs,Y,Y,Y,Y,Y,Y,Y,Y,Y
Chat UI,Y,Y,Y,Y,Y,Y,Y,Y,Y
Real DeepSeek,Y,N (SKELETON),Y,Y (8.9-10.9s),Y,Y (5.5-6.7s),Y (4.8-16.8s),Y (6.8-10.2s),Y (7.2-15.2s)
Tool calls (MCP),Y (4 experts + 4 tools),N (provider not impl),N (rule-based + LLM),N (PureLLM),N (PureLLM),N (PureLLM),N (PureLLM),N (PureLLM),N (PureLLM)
Backend provider,icoder.medical-coding.v1 (HybridCodingAdapter),icoder.llm-with-tools.v1 (SKELETON),icoder.rule-engine.v1,icoder.pure-llm.v1,icoder.pure-llm.v1,icoder.pure-llm.v1,icoder.pure-llm.v1,icoder.pure-llm.v1,icoder.pure-llm.v1
Unified API /run,Y,Y,Y,Y,Y,Y,Y,Y,Y
Trace events,Y (multi-step),Minimal,Minimal (1),Minimal (1),Minimal (1),Minimal (1),Minimal (1),Minimal (1),Minimal (1)
Cost tracking,Y,N (no LLM call),Y,Y,Y,Y,Y,Y,Y
Embedded smoke,Y (4 eligible),N,N,Y (4 eligible),N,Y (4 eligible),Y (4 eligible),N,N
Backend Service Integration,READY,NOT READY,CONDITIONAL READY,CONDITIONAL READY,CONDITIONAL READY,CONDITIONAL READY,CONDITIONAL READY,CONDITIONAL READY,CONDITIONAL READY
ROPC Embedded,READY,N,N,READY,N,READY,READY,N,N
RunHistory,Y,Y (metadata only),Y,Y,Y,Y,Y,Y,Y
AuditLog,Y,Y,Y,Y,Y,Y,Y,Y,Y
Fork UI,Y,Y,Y,Y,Y,Y,Y,Y,Y
Orchestrator sub-agent,Y (entry point),Should be (post-impl),Should be (stage 5),Should be (stage 6),Should be (after stage 2),Should be (stage 4),Should be (stage 3),Should be (stage 1),Should be (stage 7 - final)
