node_id,outcome_at_terminal_8546184,outcome_at_baseline_85a5c9a,classification,evidence,fix_action_required_at_rv
tests/test_api/test_v2_codes_predict_consistency.py::test_codes_predict_15_systems_enum_complete,ERROR_AT_TERMINAL,ERROR_AT_BASELINE,PRE_EXISTING_SAME,"Same node-ID, same failure signature at baseline 85a5c9a. Test files not modified by A1B-AE-R (git log 85a5c9a..8546184 empty for these files).",NONE — pre-existing baseline carryover. Out of A1B-AE-RV scope per charter §五.
tests/test_api/test_v2_codes_predict_consistency.py::test_codes_predict_spec_is_real_and_cached,ERROR_AT_TERMINAL,ERROR_AT_BASELINE,PRE_EXISTING_SAME,"Same node-ID, same failure signature at baseline 85a5c9a. Test files not modified by A1B-AE-R (git log 85a5c9a..8546184 empty for these files).",NONE — pre-existing baseline carryover. Out of A1B-AE-RV scope per charter §五.
tests/test_api/test_v2_stt_create_transcript_consistency.py::test_stt_create_required_fields_match_spec,ERROR_AT_TERMINAL,ERROR_AT_BASELINE,PRE_EXISTING_SAME,"Same node-ID, same failure signature at baseline 85a5c9a. Test files not modified by A1B-AE-R (git log 85a5c9a..8546184 empty for these files).",NONE — pre-existing baseline carryover. Out of A1B-AE-RV scope per charter §五.
tests/test_api/test_v2_stt_create_transcript_consistency.py::test_stt_create_spec_is_real_and_cached,ERROR_AT_TERMINAL,ERROR_AT_BASELINE,PRE_EXISTING_SAME,"Same node-ID, same failure signature at baseline 85a5c9a. Test files not modified by A1B-AE-R (git log 85a5c9a..8546184 empty for these files).",NONE — pre-existing baseline carryover. Out of A1B-AE-RV scope per charter §五.
tests/test_api/test_v2_stt_create_transcript_consistency.py::test_v2_stt_create_minimal_shape_matches_corti_spec,ERROR_AT_TERMINAL,ERROR_AT_BASELINE,PRE_EXISTING_SAME,"Same node-ID, same failure signature at baseline 85a5c9a. Test files not modified by A1B-AE-R (git log 85a5c9a..8546184 empty for these files).",NONE — pre-existing baseline carryover. Out of A1B-AE-RV scope per charter §五.
tests/test_api/test_v2_stt_create_transcript_consistency.py::test_v2_stt_create_optional_fields_accepted,ERROR_AT_TERMINAL,ERROR_AT_BASELINE,PRE_EXISTING_SAME,"Same node-ID, same failure signature at baseline 85a5c9a. Test files not modified by A1B-AE-R (git log 85a5c9a..8546184 empty for these files).",NONE — pre-existing baseline carryover. Out of A1B-AE-RV scope per charter §五.
tests/test_api/test_v2_stt_create_transcript_consistency.py::test_v2_stt_create_reference_round_trip,ERROR_AT_TERMINAL,ERROR_AT_BASELINE,PRE_EXISTING_SAME,"Same node-ID, same failure signature at baseline 85a5c9a. Test files not modified by A1B-AE-R (git log 85a5c9a..8546184 empty for these files).",NONE — pre-existing baseline carryover. Out of A1B-AE-RV scope per charter §五.
tests/test_api/test_v2_stt_create_transcript_consistency.py::test_v2_stt_create_request_reference_round_trip,ERROR_AT_TERMINAL,ERROR_AT_BASELINE,PRE_EXISTING_SAME,"Same node-ID, same failure signature at baseline 85a5c9a. Test files not modified by A1B-AE-R (git log 85a5c9a..8546184 empty for these files).",NONE — pre-existing baseline carryover. Out of A1B-AE-RV scope per charter §五.
tests/test_api/test_v2_stt_delete_recording_consistency.py::test_stt_delete_recording_spec_is_real_and_cached,ERROR_AT_TERMINAL,ERROR_AT_BASELINE,PRE_EXISTING_SAME,"Same node-ID, same failure signature at baseline 85a5c9a. Test files not modified by A1B-AE-R (git log 85a5c9a..8546184 empty for these files).",NONE — pre-existing baseline carryover. Out of A1B-AE-RV scope per charter §五.
tests/test_api/test_v2_stt_delete_transcript_consistency.py::test_stt_delete_transcript_spec_is_real_and_cached,ERROR_AT_TERMINAL,ERROR_AT_BASELINE,PRE_EXISTING_SAME,"Same node-ID, same failure signature at baseline 85a5c9a. Test files not modified by A1B-AE-R (git log 85a5c9a..8546184 empty for these files).",NONE — pre-existing baseline carryover. Out of A1B-AE-RV scope per charter §五.
