UX dimension,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8,CP9,avg
entry_discoverability,4,4,4,4,4,4,4,4,4,4.0
input_experience,4,3,3,4,4,3,4,4,3,3.56
output_readability,4,3,4,4,4,4,5,4,5,4.11
error_recovery,4,4,4,5,5,5,5,5,5,4.67
realtime_feedback,4,2,4,4,3,4,3,3,3,3.33
trace_transparency,3,2,2,2,2,2,2,2,2,2.11
cost_transparency,5,2,5,5,5,5,5,5,5,4.67
copy_download,5,5,5,5,5,5,5,5,5,5.0
configurable,4,3,4,4,4,4,4,4,4,3.89
multi_turn,4,3,4,4,4,4,4,4,4,3.89
mobile_response,3,3,3,3,3,3,3,3,3,3.0
i18n,4,3,4,4,4,4,4,4,4,3.89
AGENT_AVERAGE,4.0,3.08,3.83,4.0,3.92,3.92,4.0,3.92,3.92,3.84
