blocker_id,subgate,severity,category,title,description,owner,resolution_path,target_phase
A1C-B-001,A1C.2,P1,infrastructure,PostgreSQL 16 actual run on Pilot env,"host has no docker/psql/podman; SQLite parity verified but PG-specific behaviors (CHECK constraints, JSONB, partial indexes, advisory locks) need live PG run",Pilot ops,Provision Pilot cloud account + run alembic upgrade head on PG 16,Pilot env
A1C-B-002,A1C.1,P2,test_debt,88 historical baseline failures,"spec/STT/oauth/health_check debt carried from A1B-AE-RV; out-of-scope there but blocks PDF §十四 #2 'CI clean'",Engineering,Triage 88 failures into per-suite fix batches,A1D or Pilot prep
A1C-B-003,A1C.1,P2,lint,ESLint binary missing in audit env,"frontend dev dependencies not installed in audit host; blocks PDF §十四 #3 'ESLint PASS'",Engineering,Run npm ci in frontend/ before A1C re-audit,A1D
A1C-B-004,A1C.4,P1,identity,Real hospital IdP not available,"OIDC/SSO flow designed + SSO_INTEGRATION_TEST_RESULTS.json authored (16 scenarios); not exercised against real hospital IdP",Pilot ops,Procure hospital IdP metadata + run live SSO journey,Pilot env
A1C-B-005,A1C.5,P1,kms,Real cloud KMS provider not selected,"CredentialVault abstraction verified; KMS adapter designed; concrete provider (Aliyun KMS / Tencent KMS / Huawei KMS / HashiCorp Vault) implementation deferred",Pilot ops,Select Pilot cloud + provision KMS + implement adapter,Pilot env
A1C-B-006,A1C.5,P1,llm_provider,DeepSeek API key not injected,"LLM_API_KEY not present in audit env; Phase 7 Gate 12 prior PASS (5462ms) used as evidence; Pilot env real call required",Pilot ops,Inject LLM_API_KEY via KMS,Pilot env
A1C-B-007,A1C.5,P2,llm_provider,Fallback LLM provider not implemented,"DeepSeek is sole provider; Azure-OpenAI / Qwen / Moonshot fallback DESIGN only",Engineering,Implement ≥1 fallback provider for DeepSeek outage,A1D
A1C-B-008,A1C.5,P2,kms,KMS key rotation + cache invalidation not implemented,"CredentialVault cache holds decrypted secrets; cache invalidation on KMS key version change not implemented",Engineering,Implement KMS version token + cache invalidation signal,A1D
A1C-B-009,A1C.6,P1,phi,Live HAR capture + PHI regex scan not run,"11 redaction surfaces pass by design / static analysis / prior verification; live HAR capture + regex scan over real PHI injection deferred",Pilot ops,Pilot env e2e HAR capture + regex scan,Pilot env
A1C-B-010,A1C.6,P2,audit,Allow-side policy_decision audit emission not wired,"7/12 audit fields PASS; allow-side decision (rbac_role + abac_purpose_match + tenant_match) DESIGN; deny-side only currently emitted",Engineering,Wire allow-side decision into audit_middleware,A1D
A1C-B-011,A1C.6,P2,audit,ABAC purpose_of_use emission not in every audit row,"ABAC dimension verified at design level; request.state.purpose_of_use not currently propagated to audit_log.details",Engineering,Wire purpose_of_use through to audit_log.details in audit_middleware,A1D
A1C-B-012,A1C.6,P2,data_residency,DeepSeek region routing EXPLICIT decision log,"data_policy.region_allowed_providers() returns allowed list; egress decision is IMPLICIT via region default; Charter §4 PDF asks EXPLICIT",Engineering,Add data_policy.egress_decision_log() emit,A1D
A1C-B-013,A1C.7,P1,deployment,Pilot cloud account + DNS CNAME not provisioned,"DEPLOYMENT_RUNBOOK.md authored; live deploy deferred — requires Pilot account + api.cn.icoder.cloud CNAME + TLS cert",Pilot ops,Procure Pilot cloud account + DNS CNAME + TLS,Pilot env
A1C-B-014,A1C.7,P2,observability,Prometheus exporter + Sentry CN relay not wired,"OBSERVABILITY_SPEC.md authored with 14 metrics + 5 dashboards + 10 alerts; concrete wire-up deferred",Engineering + Pilot ops,Implement Prometheus exporter + provision Sentry CN relay,Pilot env
A1C-B-015,A1C.7,P2,queue,Redis webhook delivery queue not wired,"A1C.3 RESULT_CALLBACK_SCHEMA.json DESIGN: Postgres LISTEN/NOTIFY fallback; Redis Stream deferred",Engineering,Decide Postgres LISTEN/NOTIFY vs Redis Stream + wire,Pilot env
A1C-B-016,A1C.7,P2,failure_injection,toxiproxy failure injection not run on Pilot env,"17 failure scenarios authored (12 PASS/DESIGN_VERIFIED); live toxiproxy injection deferred",Pilot ops,Install toxiproxy on Pilot + run 17 scenarios,Pilot env
A1C-B-017,A1C.7,P2,rollback,Live rollback drill (blue/green + PITR) not performed,"5 rollback scenarios authored as static walk-through; live drill requires multi-replica env + cloud PITR capability",Pilot ops,Provision multi-replica Pilot env + drill,Pilot env
A1C-B-018,A1C.7,P2,rollback,ICODER_AUDIT_WRITE_PAUSED flag not implemented,"RB-3 (PHI leak rollback) needs ability to pause audit_logs writes during PITR; flag not implemented",Engineering,Add ICODER_AUDIT_WRITE_PAUSED env flag + audit_middleware respect,A1D
A1C-B-019,A1C.8,P1,browser_e2e,20-journey live replay on Pilot env,"20-journey matrix + 9-piece evidence template authored; live replay BLOCKED_BY_PILOT_ENVIRONMENT",Pilot ops,Run scripts/a1c8_pilot_journey_runner.py on Pilot,Pilot env
A1C-B-020,A1C.3,P2,identity,CDI specialist + medical records admin UserRole not extended,"5/7 principals closed; CDI_SPECIALIST + MEDICAL_RECORDS_ADMIN UserRole extension in users.role enum deferred (DESIGN)",Engineering,Extend UserRole enum + migration + role-permission wiring,A1D
