store_id,store_name,orm_model,table_or_path,link_to_context,phi_bearing,pre_rv3_scrub_status,post_rv3_scrub_status,scrub_kind,gap_id,test_evidence,retention_note
1,contexts,ContextRow,contexts (sqlite),id == context_id (parent),YES,SCRUBBED,SCRUBBED,hard_delete_row,N/A,test_rv3_6_marker_scan,Parent row last in dependency order.
2,context_messages,ContextMessageRow,context_messages,context_id FK YES,SCRUBBED,SCRUBBED,sa_delete YES,N/A,test_rv3_6_marker_scan,"PHI; user message text in parts_json."
3,context_task_refs,ContextTaskRefRow,context_task_refs,context_id FK YES,SCRUBBED,SCRUBBED,sa_delete NO,N/A,test_rv3_6_marker_scan,Ref only; task state machine.
4,context_artifact_refs,ContextArtifactRefRow,context_artifact_refs,context_id FK YES,SCRUBBED,SCRUBBED,sa_delete NO,N/A,test_rv3_6_marker_scan,Ref only; artifact payload stored elsewhere.
5,original_input_audit,OriginalInputAuditRow,original_input_audit,context_id (no FK declared) YES,SCRUBBED,SCRUBBED,sa_delete YES,N/A,test_rv3_6_marker_scan,"Pre-redaction raw input; high PHI."
6,contexts.metadata_json interview_state,ContextRow.metadata_json (inline),contexts row YES,SCRUBBED_VIA_PARENT_ROW_DELETE YES,SCRUBBED,implicit,N/A,test_rv3_6_marker_scan,interviewing_expert.py:181.
7,conversation_memories,ConversationMemory,conversation_memories,session_id LIKE '{ctx_id}:{msg_id}' YES,GAP_NOT_SCRUBBED,SCRUBBED_BY_HARD_DELETE_NEW,sa_delete YES,RV3_GAP_01,"test_rv3_1, test_rv3_6","Long-term memory; content + key_facts embedding inline. Hard-deleted (no compliance retention — user asked to forget)."
8,run_history,RunHistoryModel,run_history,context_id column YES,GAP_NOT_SCRUBBED,REDACTED_BY_HARD_DELETE_NEW,sa_update (input_text/output_summary redacted, context_id cleared) YES,RV3_GAP_02,"test_rv3_2, test_rv3_6","Row retained for audit trail; only PHI-bearing columns redacted."
9,run_trace_events,RunTraceEventModel,run_trace_events,via run_id -> run_history.context_id YES,GAP_NOT_SCRUBBED,REDACTED_BY_HARD_DELETE_NEW,sa_update (safe_metadata_json redacted) YES,RV3_GAP_03,"test_rv3_3, test_rv3_6","safe_metadata_json already display-safe at write time; explicit redaction on context delete."
10,mcp_temporary_auth_state,ThreadAuthRegistry (no table),derived from context_messages row count NO,IMPLICIT_VIA_CONTEXT_MESSAGES_DELETE NO,IMPLICIT_VIA_CONTEXT_MESSAGES_DELETE,implicit,N/A,thread_auth.py:43-54,DB-derived; no separate persistence.
11,expert_invocations_metadata,RunMetadata.expert_invocations (inline),run_trace_events.safe_metadata_json NO,PARTIALLY_UNSCRUBBED,REDACTED_VIA_RUN_TRACE_REDACTION,implicit,RV3_GAP_03_dep,test_rv3_3,Covered by run_trace_events redaction.
12,audit_logs,AuditLog,audit_logs,resource_id MAY equal context_id YES,PARTIALLY_UNSCRUBBED,REDACTED_BY_HARD_DELETE_NEW,sa_update (details + model_input_summary + model_output_summary + tool_calls_made redacted) YES,RV3_GAP_04,"test_rv3_4, test_rv3_6","Row retained for compliance; only PHI-bearing columns redacted. redaction_marker=[REDACTED_BY_CONTEXT_DELETE] stamped."
13,conversation_memories.key_facts embedding,ConversationMemory.key_facts (inline),inline in memory row YES,GAP_NOT_SCRUBBED,SCRUBBED_VIA_MEMORY_DELETE,implicit,RV3_GAP_01_dep,test_rv3_1,Embedding inline in JSON; deleting parent memory row covers it.
14,external_expert_fixture_cache,N/A (proven not applicable),N/A,N/A NO,PROVEN_NA,PROVEN_NA,N/A,N/A,grep evidence,"No persistent store; PubMed/ClinicalTrials responses not persisted to DB. VCR cassettes only under tests/fixtures/ for test replay."
15,runtime_sessions,RuntimeSession,runtime_sessions,no context_id column (per legacy_tenancy_attribution.py:251-260) YES,PROVEN_NA_NO_CONTEXT_COLUMN,PROVEN_NA_NO_CONTEXT_COLUMN,N/A,N/A,legacy_tenancy_attribution.py:251-260,"legacy_tenancy_attribution.py explicitly guards missing context_id column; table has no Context linkage."
