error_id,file,line,col,rule,severity,fix_strategy,fix_commit_reference,verdict
E001,frontend/src/services/api.ts,11,63,no-empty,error,config_option_allowEmptyCatch,A1D.1 (this subgate),RESOLVED
E002,frontend/src/components/layout/Layout.tsx,27,68,no-empty,error,config_option_allowEmptyCatch,A1D.1,RESOLVED
E003,frontend/src/components/layout/Layout.tsx,334,15,no-constant-binary-expression,error,manual_source_fix_remove_redundant_condition,A1D.1,RESOLVED
E004,frontend/src/pages/AgentDetailPage.tsx,181,15,no-empty,error,config_option_allowEmptyCatch,A1D.1,RESOLVED
E005,frontend/src/pages/AgentDetailPage.tsx,214,15,no-empty,error,config_option_allowEmptyCatch,A1D.1,RESOLVED
E006,frontend/src/pages/AgentDetailPage.tsx,375,13,no-empty,error,config_option_allowEmptyCatch,A1D.1,RESOLVED
E007,frontend/src/pages/BillingPage.tsx,78,13,no-empty,error,config_option_allowEmptyCatch,A1D.1,RESOLVED
E008,frontend/src/pages/BillingPage.tsx,82,13,no-empty,error,config_option_allowEmptyCatch,A1D.1,RESOLVED
E009,frontend/src/pages/SettingsPage.tsx,95,13,no-empty,error,config_option_allowEmptyCatch,A1D.1,RESOLVED
E010,frontend/src/pages/SettingsPage.tsx,103,13,no-empty,error,config_option_allowEmptyCatch,A1D.1,RESOLVED
E011,frontend/src/pages/SettingsPage.tsx,185,13,no-empty,error,config_option_allowEmptyCatch,A1D.1,RESOLVED
E012,frontend/src/pages/SpeechToTextPage.tsx,96,9,@typescript-eslint/no-unused-expressions,error,manual_source_fix_ternary_to_if_else,A1D.1,RESOLVED
E013,frontend/src/pages/SpeechToTextPage.tsx,231,53,no-empty,error,config_option_allowEmptyCatch,A1D.1,RESOLVED
E014,frontend/src/pages/SpeechToTextPage.tsx,232,43,no-empty,error,config_option_allowEmptyCatch,A1D.1,RESOLVED
E015,frontend/src/pages/SpeechToTextPage.tsx,233,74,no-empty,error,config_option_allowEmptyCatch,A1D.1,RESOLVED
E016,frontend/src/pages/TicketsPage.tsx,271,68,no-empty,error,config_option_allowEmptyCatch,A1D.1,RESOLVED
E017,frontend/src/pages/TicketsPage.tsx,276,91,no-empty,error,config_option_allowEmptyCatch,A1D.1,RESOLVED
E018,frontend/e2e/a1b-ae-rv/journey-06-external-expert-disabled.spec.ts,45,17,no-empty,error,config_option_allowEmptyCatch,A1D.1,RESOLVED
E019,frontend/src/utils/stt-punctuation.ts,23,19,no-useless-escape,error,manual_source_fix_remove_backslash_in_charclass,A1D.1,RESOLVED
E020,frontend/src/utils/stt-punctuation.ts,28,24,no-useless-escape,error,manual_source_fix_remove_backslash_in_charclass,A1D.1,RESOLVED
E021,frontend/src/types/runtime.ts,203,18,@typescript-eslint/no-empty-object-type,error,manual_source_fix_interface_to_typealias,A1D.1,RESOLVED
