node_id,baseline_status_85a5c9a,terminal_status_8546184,transition,classification
tests/test_api/test_a1a_gate2_org_isolation.py::test_cloud_mode_allows_null_org_with_allow_flag,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate2_org_isolation.py::test_cloud_mode_refuses_null_org_at_audit_log,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate2_org_isolation.py::test_cloud_mode_refuses_null_org_at_idempotency,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate2_org_isolation.py::test_cloud_mode_refuses_null_org_at_run_history,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate2_org_isolation.py::test_local_mode_allows_null_org_writes,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate2_org_isolation.py::test_new_audit_row_has_modern_classification,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate2_org_isolation.py::test_new_run_has_modern_classification,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate2_org_isolation.py::test_null_org_run_excluded_from_org_scoped_query,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate2_org_isolation.py::test_org_a_cannot_cancel_org_b_run,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate2_org_isolation.py::test_org_a_cannot_read_org_b_signed_trace_token,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate2_org_isolation.py::test_org_b_audit_query_excludes_org_a_rows,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate2_org_isolation.py::test_org_b_cannot_revoke_org_a_preview_session,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate2_org_isolation.py::test_org_b_idempotency_key_does_not_replay_org_a,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate2_org_isolation.py::test_org_b_partner_usage_excludes_org_a_runs,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate2_org_isolation.py::test_run_history_org_scope_check_treats_null_row_as_invisible,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3_2_tenant_read_policy.py::test_by_agent_excludes_invisible,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3_2_tenant_read_policy.py::test_runs_history_excludes_invisible,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3_2_tenant_read_policy.py::test_summary_daily_breakdown_excludes_invisible,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3_2_tenant_read_policy.py::test_summary_excludes_invisible_classifications,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3_2_tenant_read_policy.py::test_usage_history_excludes_invisible,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3_4_sse_tenant_isolation.py::test_sse_denied_on_invisible_classification[LEGACY_TENANT_AMBIGUOUS],PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3_4_sse_tenant_isolation.py::test_sse_denied_on_invisible_classification[LEGACY_TENANT_UNKNOWN],PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3_4_sse_tenant_isolation.py::test_sse_denied_on_invisible_classification[MODERN_SYSTEM],PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3_4_sse_tenant_isolation.py::test_sse_denied_on_invisible_classification[QUARANTINED],PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3_4_sse_tenant_isolation.py::test_sse_denied_on_null_classification,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3_4_sse_tenant_isolation.py::test_sse_denied_on_org_mismatch,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3_4_sse_tenant_isolation.py::test_sse_passes_for_visible_classification,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3_5_console_trace_isolation.py::test_console_trace_denied_on_invisible_classification[LEGACY_TENANT_AMBIGUOUS],PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3_5_console_trace_isolation.py::test_console_trace_denied_on_invisible_classification[LEGACY_TENANT_UNKNOWN],PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3_5_console_trace_isolation.py::test_console_trace_denied_on_invisible_classification[MODERN_SYSTEM],PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3_5_console_trace_isolation.py::test_console_trace_denied_on_invisible_classification[QUARANTINED],PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3_5_console_trace_isolation.py::test_console_trace_denied_on_null_classification,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3_5_console_trace_isolation.py::test_console_trace_denied_on_org_mismatch,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3_5_console_trace_isolation.py::test_console_trace_passes_for_visible_modern,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3_5_console_trace_isolation.py::test_partner_trace_url_denied_on_invisible_classification[LEGACY_TENANT_UNKNOWN],PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3_5_console_trace_isolation.py::test_partner_trace_url_denied_on_invisible_classification[MODERN_SYSTEM],PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3_5_console_trace_isolation.py::test_partner_trace_url_denied_on_invisible_classification[QUARANTINED],PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3_5_console_trace_isolation.py::test_partner_trace_url_passes_for_modern,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3_8_security_negative_consolidated.py::test_L2_db_rejects_duplicate_run_step_ts,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3_8_security_negative_consolidated.py::test_L2_db_rejects_invalid_tenancy_classification[LEGACY_TENANT_KNOWN_X],PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3_8_security_negative_consolidated.py::test_L2_db_rejects_invalid_tenancy_classification[MODERN_USER],PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3_8_security_negative_consolidated.py::test_L2_db_rejects_invalid_tenancy_classification[QUARANTINE],PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3_8_security_negative_consolidated.py::test_L2_db_rejects_invalid_tenancy_classification[TENANT_MODERN],PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3_8_security_negative_consolidated.py::test_L2_db_rejects_invalid_tenancy_classification[modern],PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3_8_security_negative_consolidated.py::test_L2_db_rejects_invalid_trace_capture_status[DONE],PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3_8_security_negative_consolidated.py::test_L2_db_rejects_invalid_trace_capture_status[MEMORY],PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
